ticker,name,market,country,sector,price,currency,high_52w,discount_52w,market_cap_mln,volume_k,smi,smi_ema,zone,signal,eps_ttm,sales_ttm_mln,quick_ratio,scanned_at
YOOV,Concorde International Group Lt,USA,Singapore,Industrials,1.28,USD,31.06,95.9,290.5,1103.7,-54.61,-58.87,OVERSOLD,Strong BUY,-0.67,10.5,1.17,2026-05-17T12:04:03.231884
KYTX,"Kyverna Therapeutics, Inc.",USA,United States,Healthcare,9.49,USD,13.67,30.6,576.9,873.6,-4.57,-3.29,Bearish,Turning Up,-3.27,0.0,7.75,2026-05-17T12:04:03.349813
VZLA,Vizsla Silver Corp.,USA,Canada,Basic Materials,3.5,USD,7.19,51.3,1223.2,8539.1,-38.35,-48.28,Bearish,Strong BUY,-0.36,0.0,34.06,2026-05-17T12:04:03.381081
CNQ,Canadian Natural Resources Limi,USA,Canada,Energy,47.98,USD,51.34,6.5,100072.4,11350.4,6.11,12.28,Bullish,Turning Up,4.07,44167.0,0.63,2026-05-17T12:04:03.455198
CALM,"Cal-Maine Foods, Inc.",USA,United States,Consumer Defensive,76.88,USD,126.4,39.2,3642.3,879.4,-58.16,-58.18,OVERSOLD,Strong BUY,14.37,4261.9,5.42,2026-05-17T12:04:03.570864
COST,Costco Wholesale Corporation,USA,United States,Consumer Defensive,1048.95,USD,1067.08,1.7,465369.3,1814.9,46.93,40.37,OVERBOUGHT,BUY,19.2,275235.0,0.55,2026-05-17T12:04:03.767281
WIT,Wipro Limited,USA,India,Technology,1.89,USD,3.13,39.6,19816.9,13330.8,-81.56,-79.57,OVERSOLD,Turning Up,0.13,890884.0,2.71,2026-05-17T12:04:04.087671
ESTC,Elastic N.V.,USA,Netherlands,Technology,50.6,USD,96.07,47.3,5237.2,2154.3,-24.41,-40.16,Bearish,Strong BUY,-0.79,1483.3,1.92,2026-05-17T12:04:04.155318
ASTS,"AST SpaceMobile, Inc.",USA,United States,Technology,83.67,USD,129.89,35.6,24996.1,15700.5,-40.75,-45.13,OVERSOLD,Strong BUY,-1.8,70.9,16.27,2026-05-17T12:04:04.234053
ET,Energy Transfer LP,USA,United States,Energy,20.15,USD,20.67,2.5,69339.4,16214.5,37.06,35.49,Bullish,BUY,1.2,85536.0,0.9,2026-05-17T12:04:04.390809
NJR,NewJersey Resources Corporation,USA,United States,Utilities,57.33,USD,57.91,1.0,5785.8,540.8,50.6,52.6,OVERBOUGHT,Turning Up,3.37,2036.4,0.4,2026-05-17T12:04:04.579689
PGR,Progressive Corporation (The),USA,United States,Financial Services,199.73,USD,289.96,31.1,116709.5,2863.7,-42.54,-42.7,OVERSOLD,Strong BUY,19.65,87637.0,,2026-05-17T12:04:04.782917
BJ,"BJ's Wholesale Club Holdings, I",USA,United States,Consumer Defensive,96.36,USD,120.08,19.8,12304.4,1887.1,-29.86,-32.95,Bearish,Strong BUY,4.37,21457.3,0.16,2026-05-17T12:04:05.134376
NEXT,NextDecade Corporation,USA,United States,Energy,9.12,USD,12.12,24.8,2416.7,4720.2,40.51,32.54,OVERBOUGHT,BUY,-1.34,0.0,0.54,2026-05-17T12:04:05.245968
CRBU,"Caribou Biosciences, Inc.",USA,United States,Healthcare,2.14,USD,3.54,39.5,212.2,1410.5,9.19,14.08,Bullish,Turning Up,-1.42,11.2,5.71,2026-05-17T12:04:05.315896
EPD,Enterprise Products Partners L.,USA,United States,Energy,39.23,USD,39.74,1.3,84874.8,4481.4,29.05,27.58,Bullish,BUY,2.7,52596.0,0.74,2026-05-17T12:04:05.490387
EBS,Emergent BioSolutions Inc.,USA,United States,Healthcare,7.94,USD,14.06,43.5,409.7,867.0,-39.62,-49.85,Bearish,Strong BUY,-0.19,705.2,2.41,2026-05-17T12:04:05.506955
